date,close,high,low,open
2025-06-03 14:00:00+00:00,526.345,526.415,523.79,525.16
2025-06-03 15:00:00+00:00,526.925,527.035,526.1,526.345
2025-06-03 16:00:00+00:00,528.22,528.48,526.665,526.91
2025-06-03 17:00:00+00:00,527.74,528.76,527.665,528.23
2025-06-03 18:00:00+00:00,527.585,527.855,525.755,527.73
2025-06-03 19:00:00+00:00,527.395,527.91,526.45,527.6
2025-06-04 14:00:00+00:00,528.895,528.975,525.93,528.35
2025-06-04 15:00:00+00:00,528.705,529.485,528.18,528.895
2025-06-04 16:00:00+00:00,528.69,528.785,527.5,528.7
2025-06-04 17:00:00+00:00,529.465,529.605,528.605,528.68
2025-06-04 18:00:00+00:00,529.39,529.855,529.12,529.47
2025-06-04 19:00:00+00:00,528.88,529.8,528.51,529.39
2025-06-05 14:00:00+00:00,531.28,531.795,527.515,528.04
2025-06-05 15:00:00+00:00,532.79,533.055,530.91,531.28
2025-06-05 16:00:00+00:00,527.17,532.915,526.78,532.79
2025-06-05 17:00:00+00:00,528.17,529.66,526.495,527.18
2025-06-05 18:00:00+00:00,527.12,528.465,525.225,528.165
2025-06-05 19:00:00+00:00,524.69,527.4,522.695,527.12
2025-06-06 14:00:00+00:00,530.57,531.365,529.18,531.065
2025-06-06 15:00:00+00:00,530.25,531.775,528.535,530.585
2025-06-06 16:00:00+00:00,529.02,530.97,528.175,530.26
2025-06-06 17:00:00+00:00,530.605,530.76,528.55,529.02
2025-06-06 18:00:00+00:00,530.945,531.83,530.555,530.61
2025-06-06 19:00:00+00:00,529.86,531.25,529.61,530.945
2025-06-09 14:00:00+00:00,531.22,532.38,529.885,529.89
2025-06-09 15:00:00+00:00,531.14,531.905,530.49,531.215
2025-06-09 16:00:00+00:00,531.88,532.23,530.53,531.145
2025-06-09 17:00:00+00:00,531.875,532.18,530.99,531.88
2025-06-09 18:00:00+00:00,531.865,532.105,531.16,531.875
2025-06-09 19:00:00+00:00,530.66,532.01,530.59,531.87
2025-06-10 14:00:00+00:00,531.575,532.49,531.435,531.675
2025-06-10 15:00:00+00:00,532.09,532.205,528.865,531.515
2025-06-10 16:00:00+00:00,532.895,533.065,531.965,532.085
2025-06-10 17:00:00+00:00,532.025,533.455,531.85,532.9
2025-06-10 18:00:00+00:00,533.855,534.315,530.805,532.02
2025-06-10 19:00:00+00:00,534.25,534.91,532.89,533.86
2025-06-11 14:00:00+00:00,536.545,536.735,534.555,534.805
2025-06-11 15:00:00+00:00,535.05,536.825,534.61,536.56
2025-06-11 16:00:00+00:00,534.64,535.35,532.96,535.045
2025-06-11 17:00:00+00:00,533.16,535.65,532.99,534.64
2025-06-11 18:00:00+00:00,531.855,533.505,530.085,533.165
2025-06-11 19:00:00+00:00,532.43,532.535,530.89,531.865
2025-06-12 14:00:00+00:00,533.655,533.99,531.305,531.74
2025-06-12 15:00:00+00:00,533.315,534.675,532.34,533.645
2025-06-12 16:00:00+00:00,533.365,534.475,532.81,533.325
2025-06-12 17:00:00+00:00,533.665,534.44,533.255,533.365
2025-06-12 18:00:00+00:00,533.67,534.0,532.78,533.67
2025-06-12 19:00:00+00:00,533.665,534.06,532.57,533.66
2025-06-13 14:00:00+00:00,529.255,529.815,526.105,528.95
2025-06-13 15:00:00+00:00,531.36,531.63,528.955,529.175
2025-06-13 16:00:00+00:00,531.225,531.905,530.49,531.35
2025-06-13 17:00:00+00:00,530.23,531.43,529.315,531.22
2025-06-13 18:00:00+00:00,527.345,530.675,525.755,530.29
2025-06-13 19:00:00+00:00,526.93,527.965,525.745,527.34
2025-06-16 14:00:00+00:00,534.48,535.095,533.55,533.805
2025-06-16 15:00:00+00:00,534.21,535.405,533.79,534.465
2025-06-16 16:00:00+00:00,533.915,534.755,533.465,534.215
2025-06-16 17:00:00+00:00,533.97,535.065,533.575,533.95
2025-06-16 18:00:00+00:00,534.045,534.47,533.31,533.975
2025-06-16 19:00:00+00:00,534.29,535.38,533.255,534.035
2025-06-17 14:00:00+00:00,531.95,533.4,531.785,532.42
2025-06-17 15:00:00+00:00,532.43,533.34,531.88,531.955
2025-06-17 16:00:00+00:00,531.005,533.275,530.695,532.425
2025-06-17 17:00:00+00:00,529.235,531.505,528.71,530.995
2025-06-17 18:00:00+00:00,529.555,529.625,527.87,529.15
2025-06-17 19:00:00+00:00,529.005,530.18,528.78,529.53
2025-06-18 14:00:00+00:00,532.11,532.575,529.69,530.28
2025-06-18 15:00:00+00:00,531.135,532.25,530.99,532.125
2025-06-18 16:00:00+00:00,530.875,531.8,530.705,531.135
2025-06-18 17:00:00+00:00,530.855,531.16,528.745,530.935
2025-06-18 18:00:00+00:00,528.28,532.04,527.575,531.4
2025-06-18 19:00:00+00:00,528.97,530.495,527.4,528.15
2025-06-19 14:00:00+00:00,528.97,528.97,528.97,528.97
2025-06-19 15:00:00+00:00,528.97,528.97,528.97,528.97
2025-06-19 16:00:00+00:00,528.97,528.97,528.97,528.97
2025-06-19 17:00:00+00:00,528.97,528.97,528.97,528.97
2025-06-19 18:00:00+00:00,528.97,528.97,528.97,528.97
2025-06-19 19:00:00+00:00,528.97,528.97,528.97,528.97
