date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-01-02 00:00:00+00:00,324.87,324.89,322.53,323.54,59037072,299.2207519614,299.2391729145,297.0655004467,297.9957585791,59037072,0.0,1.0
2020-01-03 00:00:00+00:00,322.41,323.64,321.1,321.16,77708081,296.954974728,298.0878633447,295.7484022988,295.8036651582,77708081,0.0,1.0
2020-01-06 00:00:00+00:00,323.64,323.73,320.36,320.49,55596982,298.0878633447,298.1707576337,295.0668270335,295.1865632287,55596982,0.0,1.0
2020-01-07 00:00:00+00:00,322.73,323.54,322.24,323.02,40461249,297.2497099779,297.9957585791,296.7983966265,297.5168137981,40461249,0.0,1.0
2020-01-08 00:00:00+00:00,324.45,325.78,322.67,322.94,68177241,298.833911946,300.0589053283,297.1944471185,297.4431299856,68177241,0.0,1.0
2020-01-09 00:00:00+00:00,326.65,326.73,325.52,326.16,48421935,300.8602167889,300.9339006013,299.8194329377,300.4089034375,48421935,0.0,1.0
2020-01-10 00:00:00+00:00,325.71,327.46,325.2,327.29,53028660,299.9944319923,301.6062653901,299.5246976879,301.4496872886,53028660,0.0,1.0
2020-01-13 00:00:00+00:00,327.95,327.96,325.92,326.39,47026115,302.0575787415,302.066789218,300.1878520001,300.6207443983,47026115,0.0,1.0
2020-01-14 00:00:00+00:00,327.45,328.62,326.84,327.47,62784185,301.5970549136,302.6746806709,301.0352158435,301.6154758667,62784185,0.0,1.0
2020-01-15 00:00:00+00:00,328.19,329.02,327.26,327.35,71870739,302.2786301789,303.0430997333,301.4220558589,301.504950148,71870739,0.0,1.0
2020-01-16 00:00:00+00:00,330.92,330.92,329.45,329.7,53788867,304.7930902794,304.7930902794,303.4391502253,303.6694121393,53788867,0.0,1.0
2020-01-17 00:00:00+00:00,331.95,332.18,330.85,331.7,95778839,305.741769365,305.9536103258,304.7286169435,305.511507451,95778839,0.0,1.0
2020-01-21 00:00:00+00:00,331.3,332.18,330.82,330.9,77624157,305.1430883886,305.9536103258,304.7009855138,304.7746693263,77624157,0.0,1.0
2020-01-22 00:00:00+00:00,331.34,332.95,331.17,332.24,48705035,305.1799302949,306.6628170208,305.0233521934,306.0088731852,48705035,0.0,1.0
2020-01-23 00:00:00+00:00,331.72,332.17,329.41,330.63,51828259,305.5299284041,305.9443998492,303.4023083191,304.5259864592,51828259,0.0,1.0
2020-01-24 00:00:00+00:00,328.77,332.53,327.36,332.44,87465785,302.8128378193,306.2759770054,301.5141606245,306.1930827163,87465785,0.0,1.0
