date,close,high,low,open
2025-06-03 14:00:00+00:00,594.37,594.415,591.74,592.66
2025-06-03 15:00:00+00:00,595.64,595.705,594.335,594.37
2025-06-03 16:00:00+00:00,596.49,596.7,595.22,595.64
2025-06-03 17:00:00+00:00,596.105,597.095,596.025,596.495
2025-06-03 18:00:00+00:00,596.325,596.475,594.76,596.11
2025-06-03 19:00:00+00:00,596.12,596.52,595.22,596.33
2025-06-04 14:00:00+00:00,597.535,597.865,595.405,597.33
2025-06-04 15:00:00+00:00,596.87,597.885,596.38,597.53
2025-06-04 16:00:00+00:00,596.77,596.945,595.775,596.87
2025-06-04 17:00:00+00:00,597.57,597.71,596.745,596.77
2025-06-04 18:00:00+00:00,597.02,597.94,596.835,597.63
2025-06-04 19:00:00+00:00,595.895,597.255,595.895,597.02
2025-06-05 14:00:00+00:00,597.265,597.635,593.85,594.29
2025-06-05 15:00:00+00:00,598.755,599.15,597.04,597.265
2025-06-05 16:00:00+00:00,594.72,598.975,594.24,598.755
2025-06-05 17:00:00+00:00,595.83,596.975,594.305,594.72
2025-06-05 18:00:00+00:00,595.25,596.285,593.13,595.83
2025-06-05 19:00:00+00:00,592.94,595.53,591.01,595.245
2025-06-06 14:00:00+00:00,599.28,600.49,598.575,600.28
2025-06-06 15:00:00+00:00,598.7,600.35,597.23,599.285
2025-06-06 16:00:00+00:00,597.61,599.415,596.84,598.7
2025-06-06 17:00:00+00:00,598.94,599.075,597.125,597.61
2025-06-06 18:00:00+00:00,599.72,600.415,598.945,598.945
2025-06-06 19:00:00+00:00,599.005,600.075,598.905,599.725
2025-06-09 14:00:00+00:00,599.515,600.47,598.705,598.945
2025-06-09 15:00:00+00:00,599.85,600.04,598.99,599.52
2025-06-09 16:00:00+00:00,600.675,601.12,599.35,599.855
2025-06-09 17:00:00+00:00,600.945,601.215,600.095,600.675
2025-06-09 18:00:00+00:00,600.97,601.25,600.335,600.945
2025-06-09 19:00:00+00:00,599.56,601.145,599.43,600.975
2025-06-10 14:00:00+00:00,601.02,601.715,600.465,600.605
2025-06-10 15:00:00+00:00,601.27,601.54,599.02,601.02
