date,close,high,low,open
2025-06-03 14:00:00+00:00,308.37,309.345,307.14,308.32
2025-06-03 15:00:00+00:00,308.73,309.42,308.135,308.36
2025-06-03 16:00:00+00:00,308.555,309.5,308.19,308.74
2025-06-03 17:00:00+00:00,308.98,309.575,308.445,308.555
2025-06-03 18:00:00+00:00,309.045,309.53,308.725,308.98
2025-06-03 19:00:00+00:00,308.905,309.605,308.795,309.05
2025-06-04 14:00:00+00:00,311.22,311.9,308.76,309.06
2025-06-04 15:00:00+00:00,310.7,311.38,310.485,311.22
2025-06-04 16:00:00+00:00,311.02,311.165,310.605,310.7
2025-06-04 17:00:00+00:00,311.325,311.555,310.815,311.015
2025-06-04 18:00:00+00:00,311.15,311.71,310.995,311.33
2025-06-04 19:00:00+00:00,310.885,311.155,309.92,311.145
2025-06-05 14:00:00+00:00,310.25,311.695,309.9,311.225
2025-06-05 15:00:00+00:00,308.145,310.785,307.645,310.275
2025-06-05 16:00:00+00:00,309.0,309.255,307.68,308.115
2025-06-05 17:00:00+00:00,308.985,309.095,308.505,308.995
2025-06-05 18:00:00+00:00,308.925,309.21,308.675,308.99
2025-06-05 19:00:00+00:00,309.295,309.705,308.815,308.945
2025-06-06 14:00:00+00:00,306.475,308.24,305.555,308.015
2025-06-06 15:00:00+00:00,307.04,307.48,306.205,306.475
2025-06-06 16:00:00+00:00,306.185,307.105,306.005,307.04
2025-06-06 17:00:00+00:00,306.24,306.56,306.03,306.19
2025-06-06 18:00:00+00:00,305.67,306.295,305.325,306.235
2025-06-06 19:00:00+00:00,305.165,305.835,305.075,305.65
2025-06-09 14:00:00+00:00,306.02,306.54,305.56,305.85
2025-06-09 15:00:00+00:00,306.705,307.04,305.965,306.015
2025-06-09 16:00:00+00:00,307.575,307.58,306.615,306.705
2025-06-09 17:00:00+00:00,307.19,307.61,307.115,307.575
2025-06-09 18:00:00+00:00,307.15,307.5,307.085,307.18
2025-06-09 19:00:00+00:00,306.605,307.355,306.445,307.15
2025-06-10 14:00:00+00:00,306.69,308.04,306.43,308.02
2025-06-10 15:00:00+00:00,306.525,306.77,306.21,306.675
2025-06-10 16:00:00+00:00,306.035,306.62,305.92,306.52
2025-06-10 17:00:00+00:00,306.38,306.475,305.965,306.05
2025-06-10 18:00:00+00:00,306.075,306.42,305.87,306.375
2025-06-10 19:00:00+00:00,306.66,307.26,306.07,306.08
2025-06-11 14:00:00+00:00,307.53,307.87,306.685,306.8
2025-06-11 15:00:00+00:00,307.07,308.02,306.81,307.53
2025-06-11 16:00:00+00:00,306.82,307.24,306.665,307.07
2025-06-11 17:00:00+00:00,306.315,306.945,305.85,306.82
2025-06-11 18:00:00+00:00,308.14,308.43,306.28,306.315
2025-06-11 19:00:00+00:00,308.38,308.61,307.21,308.14
2025-06-12 14:00:00+00:00,311.7,313.21,311.64,312.43
2025-06-12 15:00:00+00:00,311.89,312.605,311.145,311.71
2025-06-12 16:00:00+00:00,311.745,312.635,311.445,311.895
2025-06-12 17:00:00+00:00,311.63,312.345,311.2,311.745
2025-06-12 18:00:00+00:00,311.935,312.46,311.55,311.63
2025-06-12 19:00:00+00:00,312.155,312.545,311.82,311.93
2025-06-13 14:00:00+00:00,315.72,317.47,315.43,316.69
2025-06-13 15:00:00+00:00,315.685,316.76,315.195,315.72
2025-06-13 16:00:00+00:00,316.02,316.795,315.04,315.7
2025-06-13 17:00:00+00:00,316.09,316.8,315.435,316.075
2025-06-13 18:00:00+00:00,316.63,316.96,315.48,316.1
2025-06-13 19:00:00+00:00,316.275,316.895,315.695,316.635
2025-06-16 14:00:00+00:00,312.985,313.205,312.095,312.16
2025-06-16 15:00:00+00:00,313.7,313.845,312.99,312.99
2025-06-16 16:00:00+00:00,313.235,313.77,313.04,313.7
2025-06-16 17:00:00+00:00,312.605,313.305,312.47,313.235
2025-06-16 18:00:00+00:00,311.91,312.74,311.795,312.605
2025-06-16 19:00:00+00:00,311.77,312.245,310.37,311.92
2025-06-17 14:00:00+00:00,311.84,312.5,310.12,312.35
2025-06-17 15:00:00+00:00,311.315,312.145,310.665,311.84
2025-06-17 16:00:00+00:00,311.665,311.92,311.095,311.335
2025-06-17 17:00:00+00:00,312.345,312.44,311.515,311.66
2025-06-17 18:00:00+00:00,311.715,312.54,311.59,312.355
2025-06-17 19:00:00+00:00,311.925,311.985,311.6,311.71
2025-06-18 14:00:00+00:00,312.07,312.605,310.0,312.6
2025-06-18 15:00:00+00:00,312.655,312.66,311.555,312.07
2025-06-18 16:00:00+00:00,312.475,312.805,311.72,312.685
2025-06-18 17:00:00+00:00,311.97,312.495,311.885,312.475
2025-06-18 18:00:00+00:00,311.375,312.91,311.31,312.34
2025-06-18 19:00:00+00:00,310.245,311.375,309.47,311.375
2025-06-19 14:00:00+00:00,310.245,310.245,310.245,310.245
2025-06-19 15:00:00+00:00,310.245,310.245,310.245,310.245
2025-06-19 16:00:00+00:00,310.245,310.245,310.245,310.245
2025-06-19 17:00:00+00:00,310.245,310.245,310.245,310.245
2025-06-19 18:00:00+00:00,310.245,310.245,310.245,310.245
2025-06-19 19:00:00+00:00,310.245,310.245,310.245,310.245
2025-06-20 14:00:00+00:00,310.42,310.89,310.055,310.55
2025-06-20 15:00:00+00:00,310.48,310.66,310.11,310.45
2025-06-20 16:00:00+00:00,310.65,310.81,310.29,310.49
2025-06-20 17:00:00+00:00,310.25,310.665,310.175,310.54
2025-06-20 18:00:00+00:00,310.185,310.315,309.99,310.265
2025-06-20 19:00:00+00:00,310.07,310.55,309.99,310.215
2025-06-23 14:00:00+00:00,312.0,312.035,310.45,311.53
2025-06-23 15:00:00+00:00,312.07,312.31,311.835,312.02
2025-06-23 16:00:00+00:00,312.325,312.665,311.425,312.075
2025-06-23 17:00:00+00:00,311.615,313.02,311.005,312.31
2025-06-23 18:00:00+00:00,311.33,312.9,311.125,311.635
2025-06-23 19:00:00+00:00,311.08,311.94,310.985,311.285
2025-06-24 14:00:00+00:00,304.425,304.83,303.905,304.17
2025-06-24 15:00:00+00:00,305.255,305.59,303.985,304.42
2025-06-24 16:00:00+00:00,305.69,305.895,305.05,305.255
2025-06-24 17:00:00+00:00,305.66,305.975,305.655,305.71
2025-06-24 18:00:00+00:00,305.57,305.785,305.425,305.685
2025-06-24 19:00:00+00:00,306.17,306.34,305.47,305.57
2025-06-25 14:00:00+00:00,306.195,306.42,305.135,305.345
2025-06-25 15:00:00+00:00,306.375,306.525,306.0,306.195
2025-06-25 16:00:00+00:00,307.21,307.24,306.22,306.39
2025-06-25 17:00:00+00:00,306.56,307.26,306.27,307.225
2025-06-25 18:00:00+00:00,306.92,306.94,306.405,306.56
2025-06-25 19:00:00+00:00,307.13,307.37,306.79,306.92
2025-06-26 14:00:00+00:00,305.59,306.11,305.015,305.715
2025-06-26 15:00:00+00:00,306.22,306.24,305.63,305.64
2025-06-26 16:00:00+00:00,306.81,306.98,305.995,306.23
2025-06-26 17:00:00+00:00,306.93,307.27,306.33,306.8
2025-06-26 18:00:00+00:00,307.08,307.14,306.78,306.92
2025-06-26 19:00:00+00:00,306.775,307.09,306.185,307.08
2025-06-27 14:00:00+00:00,301.43,301.95,300.635,301.645
2025-06-27 15:00:00+00:00,301.61,301.89,301.295,301.43
2025-06-27 16:00:00+00:00,301.89,301.98,301.48,301.595
2025-06-27 17:00:00+00:00,301.86,302.365,301.445,301.89
2025-06-27 18:00:00+00:00,301.695,301.96,301.235,301.87
2025-06-27 19:00:00+00:00,301.22,301.78,301.02,301.695
2025-06-30 14:00:00+00:00,302.68,302.975,301.96,302.56
2025-06-30 15:00:00+00:00,302.845,302.995,302.32,302.68
2025-06-30 16:00:00+00:00,303.59,303.64,302.76,302.85
2025-06-30 17:00:00+00:00,303.22,303.765,303.035,303.585
2025-06-30 18:00:00+00:00,303.78,303.905,303.09,303.22
2025-06-30 19:00:00+00:00,304.855,304.865,303.735,303.805
2025-07-01 14:00:00+00:00,308.17,309.02,307.99,308.71
2025-07-01 15:00:00+00:00,307.69,308.305,307.34,308.17
2025-07-01 16:00:00+00:00,307.805,308.005,307.43,307.675
2025-07-01 17:00:00+00:00,307.63,307.885,307.36,307.825
2025-07-01 18:00:00+00:00,307.46,307.67,307.355,307.645
2025-07-01 19:00:00+00:00,307.5,307.68,307.34,307.465
2025-07-02 14:00:00+00:00,307.78,307.865,306.94,307.305
2025-07-02 15:00:00+00:00,307.64,307.905,307.405,307.805
2025-07-02 16:00:00+00:00,308.33,308.4,307.62,307.63
2025-07-02 17:00:00+00:00,308.43,308.53,308.195,308.33
